Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25.0,2000,20,14,1245,13.8,4,3,7,4,0,0,1,0,2.9,2.9,2.8,5.7,0.51,0.41,29,39,88,28,12,42.9,2.02,0.87,0.14,0.33,16.3,0,0,0,2.9,2.9,0.10,+1.1,+1.1,309,399,77.4,4287,921,3,2.8,2.5,+0.2,19,18,17,4,39,368,27,3,4,0,22,5,0,0,0,0,309,31,15,14,12,5,37,45.9,20,18,1,17,9,40,12,0,38,2.75,24,0,4,5,3,2,6,0.43,613,10,98,265,261,49,613,42,15,35.7,23,54.8,323,2013,848,29,19,10,46,34,375,88,1,0,0,9,24,2,22,9,15,0,1,0,68,15,16,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,19.0,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,1,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,17,26,65.4,266,110,0,0.0,0.0,0.0,0,1,0,0,1,18,8,1,0,0,0,7,0,0,0,0,17,1,1,1,0,0,1,100.0,0,0,0,0,0,1,7,0,0,0.00,0,0,0,0,0,0,0,0.00,35,3,14,16,5,0,35,0,0,,0,,8,38,13,0,0,0,1,0,15,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jones El-Abdellaoui,ma MAR,"FW,MF",Celta Vigo,es La Liga,20.0,2006,10,0,222,2.5,2,0,2,2,0,0,0,0,2.2,2.2,0.1,2.3,0.81,0.94,18,0,35,9,3,33.3,3.65,1.22,0.22,0.67,17.7,0,0,0,2.2,2.2,0.25,-0.2,-0.2,48,69,69.6,747,75,0,0.1,0.1,-0.1,3,1,1,1,0,61,8,0,0,0,13,7,0,0,0,0,48,1,0,0,1,0,4,25.0,3,1,0,1,1,2,5,0,6,2.43,5,0,1,0,0,0,0,0.00,106,3,10,34,65,12,106,11,4,36.4,5,45.5,69,674,345,18,8,7,4,6,75,35,0,0,0,1,2,1,13,1,0,0,0,0,5,2,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,2.0,0.4,0.4,0.9,0.00,0.23,39,79,12,9,3,33.3,0.86,0.29,0.00,0.00,26.0,0,2,2,2.0,0.4,0.05,0.0,-0.4,544,628,86.6,9153,2632,0,0.4,0.7,-0.4,8,57,12,0,79,595,32,17,4,1,9,5,5,4,1,0,544,21,16,8,9,4,20,75.0,5,15,3,12,14,35,12,1,31,2.96,24,3,2,2,0,0,4,0.38,751,23,195,445,125,9,749,32,15,46.9,17,53.1,426,2425,1523,39,26,1,13,11,526,12,1,0,0,16,12,1,9,14,16,0,0,0,65,8,3,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993,9,6,464,5.2,0,0,0,0,0,0,3,1,0.0,0.0,0.5,0.5,0.00,0.09,12,7,18,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,140,182,76.9,2171,769,0,0.5,0.3,-0.5,6,13,4,2,7,145,37,5,0,1,12,32,0,0,0,0,140,10,3,5,4,1,3,33.3,2,1,0,1,3,13,12,1,10,2.01,9,1,0,0,0,0,0,0.00,234,16,69,100,66,6,234,11,4,36.4,6,54.5,114,636,352,12,6,2,12,0,136,18,3,1,1,8,8,0,12,3,3,0,0,0,19,8,9,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,12,7,528,5.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,5,8,5,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,261,280,93.2,3860,817,0,0.0,0.1,0.0,1,16,1,0,8,274,6,6,1,1,1,0,0,0,0,0,261,7,2,5,1,1,9,55.6,4,3,0,3,7,14,4,0,5,0.85,5,0,0,0,0,0,1,0.17,317,9,74,213,31,3,317,3,1,33.3,2,66.7,193,991,401,5,4,2,8,5,236,5,2,0,0,11,6,0,1,7,2,0,0,0,19,4,4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26.0,1999,11,2,306,3.4,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.7,0.29,0.22,7,19,36,2,0,0.0,0.59,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,166,198,83.8,2414,765,1,0.6,1.0,+0.4,3,5,6,1,19,169,29,0,0,0,14,29,0,0,0,0,166,11,6,8,2,1,12,58.3,5,5,1,4,2,13,4,0,7,2.07,7,0,0,0,0,0,1,0.30,231,6,49,77,106,12,231,9,2,22.2,6,66.7,96,354,187,7,1,3,4,1,146,36,0,0,0,3,3,0,14,2,6,0,1,0,14,2,3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,16,16,1378,15.3,1,0,1,1,0,0,5,0,0.7,0.7,1.0,1.6,0.07,0.11,18,78,13,15,5,33.3,0.98,0.33,0.07,0.20,24.6,0,0,0,0.7,0.7,0.04,+0.3,+0.3,810,929,87.2,15336,4708,0,1.0,0.7,-1.0,11,90,9,2,78,864,61,44,2,9,3,0,0,0,0,0,810,23,14,11,6,6,25,44.0,14,7,1,6,13,36,28,1,33,2.16,28,1,1,2,1,0,1,0.07,1038,66,315,589,141,8,1038,15,7,46.7,8,53.3,651,2816,1590,18,14,2,9,9,767,13,5,0,0,17,12,0,3,13,14,0,1,0,68,9,7,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,17,14,1338,14.9,2,2,4,2,0,1,3,0,3.8,3.0,1.6,4.6,0.27,0.36,55,32,87,48,12,25.0,3.23,0.81,0.04,0.17,19.6,4,0,1,3.8,3.0,0.06,-1.8,-1.0,152,228,66.7,2294,783,2,1.6,1.7,+0.4,16,17,17,2,32,223,5,2,0,1,18,0,1,0,0,0,152,12,7,5,4,3,9,55.6,4,3,0,3,2,14,7,0,53,3.57,28,0,10,9,6,0,5,0.34,424,5,52,153,238,77,423,71,32,45.1,37,52.1,269,2364,1466,55,31,28,38,21,295,87,3,0,0,20,30,2,18,2,7,2,0,0,46,16,21,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abner,br BRA,DF,Lyon,fr Ligue 1,25.0,2000,11,11,890,9.9,2,0,2,2,0,0,2,1,1.0,1.0,0.4,1.4,0.20,0.14,18,53,41,9,3,33.3,0.91,0.30,0.22,0.67,11.9,0,0,0,1.0,1.0,0.11,+1.0,+1.0,367,453,81.0,6149,2335,0,0.4,0.5,-0.4,5,42,10,3,53,383,68,9,1,5,26,52,7,4,1,0,367,13,9,7,6,0,11,54.5,5,7,1,6,4,17,25,0,24,2.43,14,2,4,3,0,1,3,0.30,531,23,142,240,152,22,531,9,4,44.4,5,55.6,274,1296,861,18,9,3,6,7,355,41,2,1,0,11,3,0,26,4,9,0,0,0,23,5,5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
